    PID TTY      STAT   TIME COMMAND
   1748 ?        Sl     0:00 mintreport-tray
   1865 ?        Z      0:00 [sh] <defunct>
   2582 ?        Sl     1:03 /usr/lib/firefox/firefox --purgecaches
   2685 ?        Sl     0:18 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 243963 -jsInit 286204 -parentBuildID 20210927210923 -appdir /usr/lib/firefox/browser 2582 true tab
   2733 ?        Sl     0:04 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 5749 -prefMapSize 243963 -jsInit 286204 -parentBuildID 20210927210923 -appdir /usr/lib/firefox/browser 2582 true tab
   2788 ?        Sl     0:01 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6448 -prefMapSize 243963 -jsInit 286204 -parentBuildID 20210927210923 -appdir /usr/lib/firefox/browser 2582 true tab
   2819 ?        Sl     0:00 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 8341 -prefMapSize 243963 -jsInit 286204 -parentBuildID 20210927210923 -appdir /usr/lib/firefox/browser 2582 true tab
   3240 ?        I      0:03 [kworker/3:2-events]
   3366 ?        I      0:00 [kworker/0:0-cgroup_destroy]
   4344 ?        I      0:00 [kworker/2:0-ata_sff]
   4410 pts/1    Ss+    0:00 bash
   5032 ?        I      0:01 [kworker/3:0-events]
   5109 ?        I      0:00 [kworker/2:2-events]
   5132 ?        I      0:00 [kworker/u8:1-events_power_efficient]
   5168 ?        I      0:00 [kworker/1:2-events]
   5185 ?        I      0:00 [kworker/1:3]
   5192 ?        I      0:00 [kworker/u8:0-events_unbound]
   5230 ?        I      0:00 [kworker/u8:2-events_power_efficient]
   5288 ?        I      0:00 [kworker/3:1-events]
   5291 ?        I      0:00 [kworker/3:3-events]
   5339 pts/0    R+     0:00 ps -ax
